advice_id,advicetext,authoritative,actionable,articulate,amount,affirmatives,negatives,obviousness
ad24,"Look for short words, at least three letters, as longer words don't give you more points. Look around vowels because almost all words have vowels in them, especially short words. The type of words you'll find will generally be consonant-vowel-consonant.",7,7,6,4,3,1,4
ad63,"You should not worry too much about getting longer words, since they don't count for more points. Find three letter words and if possible add an ""s"" on to the end or beginning. Do a lot of work around the ""s"". Try to start with one letter until it's exhausted so you don't forget where you've been.",6,6,5,6,5,1,5
ad07,"Try to find small words that can be changed slightly to create many works - like pit, pat, pits, pats, etc. Once you click a letter, you can't un-click it, so be careful. If you can't remember if you have already spelled a word, try anyway - you won't be penalized.",6,6,7,3,2,1,5
ad68,"Here's some advice for how to do well on the Word Scramble game.  Look quickly for the available vowels in the game.  Then look for consonants that are adjacent to the vowels.  Try to scan the letters as quickly as possible to come up with words.  Keep a mental track of the words you have already identified, as you will not get credit for duplicate words.  Try to stay calm and not get flustered as the time ticks down.  Just keep scanning the letters in all directions looking for new words until time runs out.    ",6,7,6,7,6,1,6
ad17,"Make small words. Try to use variations of the same word bases  for, fore, ford, fords, etc",6,5,3,2,2,0,6
ad22,"Try to focus on the vowels. Notice where the A E I O U's are to help get an idea of what words you can make. Be aware of were S's are, they are a good way of turning 1 word into 2 using a plural.",6,7,4,3,3,0,6
ad50,"Don't be concerned about making long words with more letters, all words are worth 1 point. Still use the plurals though - leap as well as leaps - whenever possible for more points.",6,4,3,2,2,0,4
ad71,Look for small words first.  Look for words within words.  Look for words similar to the ones you just found.  Stick to one area as long as you're finding words quickly.  Look for words that end in -ed or -s if they're on the board.  Stick to areas that have letters that are common.,7,5,7,6,6,0,5
ad52,"Keep your fingers moving; look for common suffixes, e.g., -ear, -art, -are so that you can add a letter before them (e.g., -art, could be dart, part, etc); continuously scan back and forth, up and down.  Make sure your touch pad or mouse are smooth and easy to use so you don't accidentally flow onto a letter you don't want because you can't go backwards.  If you see a Q but no U, obviously don't click on it. Scan for common letters as well.  Look for the most commonly used words, like ""and"".  Most importantly, the more you play, the better you will get.  And take your time - if you rush, you'll be putting pressure on yourself and you will not find as many words as you are capable of.",6,6,6,10,8,2,2
ad09,"1. Look for words all in one row first / 2. The same words seem to appear across multiple boards / 3. Keep it short, focus on three letter words. / 4. Look at the vowels and see if you can build around those",6,6,3,5,5,0,6
ad78,"- You CAN make the same word twice, just not with the same letters. If you have two of the letter ""s"" next to each other and can connect them to the same word twice, do it. /  / - Don't worry about longer words until later in the game, focus on short quic",6,4,2,4,3,1,5
ad57,"Look for all versions/tenses of a specific word. For example, if you see ""TALK"", also look to see if you can find ""TALKED"". Between scramble boards, look to see if there are repeat words. That is, some of the words you found in board 1 might also be in board 2 or 3. Rather than pick a letter and search for nearby options, loosen your focus and look for general word patterns over the whole board. ",7,5,5,4,3,1,6
ad33,"Don't just think about a letter a word starts with - think about suffixes and prefixes, for example, words that end in -ix, -ing, or start with re- /  / Look for plurals and past tenses, words that end in -ed or -s, -es /  / Don't forget to look diagonally and backwords! /  / Words within words count! eat, seat, eats, seats /  / You may get extra points for obscure words. Be well-read to improve your score! / ",6,6,2,9,6,3,6
ad35,Try and make several words out of the word you just got. Also see if it spells something backwards. Making one word seems to help the fluid-ness of finding the next. It will also help to try a couple different strategies while playing and seeing which one works best for you. ,4,2,3,4,4,0,6
ad18,1.  Look for vowels.  All words need one. / 2. Work around a single vowel until you have found all words with that vowel. / 3. YOu might start with vowel on top of board.  Then move to another vowel on bottom of board to make sure you do not duplicate.,5,5,3,4,4,0,6
ad19,"Be careful dragging the cursor in this game. It is not very accurate. Also, it does not matter how long the words are. For maximum points, stick to 3-letter words if possible.",6,6,6,3,3,0,3
ad69,"The most important thing is to not just sit by and stare at the board.  You need to take the first few seconds to look at all the letters but then you need to just begin moving.  If you just sit there looking at all the letters you can end up feeling overwhelmed and lose time on making words.   /  / Next, you do not need to make complex, long words.  You are looking to get points for creating as many words as possible.  Therefore, the best advice is to begin right away by looking at one letter and branching off to see what words you can create.  It is usually better to begin by looking at a consonant and looking at nearby letters to see all the words you can create.  And you just begin by creating words.   /        / Overall, the best advice is to not get lost staring at the box.  Second, begin right away and start looking for easy words you can create.  Get in a rhythm and the words will start flowing out.                  ",6,5,5,10,7,3,5
ad62," Take your time clicking on the letters to make a word.  Be careful not to click on letters that would make your word invalid.  Don't pay attention to the clock or the number of words you have created as it might distract you or make you nervous.  Try not to focus on making big words, just try to focus or creating as many words as quickly as possible for points.",6,6,6,6,2,4,6
ad34,"Word length doesn't matter. A three-letter word will give one point, just like a six-letter word. Go for the simpler words. That way you can get more short words in a minute than wasting time looking for longer words.",7,6,6,3,3,0,3
ad54,"First, look for small (3-letter) words. When you find a word, see if you can extend that word with one more letter, especially with an S; also look for the ED inding to extend verbs. For example, TEA can be extended to TEAR or TEAM; TEAR can be extended to TEARS; EAR can be extended to SEAR. You can also scramble letters of the same word; or example, EAST can become SEAT and TEAS.",6,6,6,3,3,0,6
ad66,"First, look for basic words. When you find these basic words, look for plurals, past tense, variations, etc. This is a quick way to rack up points.  /  / Look for vowels.  You can not make words without them, so find where they are in relation to consonants and map out words accordingly. /  / Look for popular letters that are combined.  Things like TH-, ST-, etc., are the beginnings and ends of a wide variety of words. ",6,6,7,7,7,0,5
ad41,"My advice is to concentrate on short words, that way you'll find more of them.",5,4,3,1,1,0,7
ad56,"Make sure your mouse is on the correct letter before you start making your word. Make sure you look for plurals. For every word you find, see if other words can be found in it, like by reading the word backwards.",7,7,6,4,4,0,5
ad65,"I would say the best bet is to look for the smaller words first, and then build on them. For example, find ""eat"" and then ""eats"". Use as many variations of the same small set of letters as possible until you've exhausted all possibilities.",5,6,7,3,3,0,7
ad43,"Look for short words. If there is an s, er, or ed available look to make combinations like plurals and tenses. Controls are tricky, be patient.",7,6,3,4,4,0,5
ad51,You will have a time limit to find words so be as quick as possible. / Even short words qualify. / The same words qualify as long as you use different letters in the block. ,6,4,7,3,3,0,7
ad37,"Go for simple words starting with consonants. Move the mouse slowly and consistently. If it highlights a wrong letter, try clicking on the letter to start over.",6,6,7,4,4,0,5
ad26,Words are centered around the vowels. Try to use as many plurals as possible.,5,2,7,2,2,0,6
ad40,"Don't panic! Find compound words and be sure to look for suffixes and prefixes to help get a lot of words quickly. Also, give yourself a minute to look for opportunities to make a lot of short words together.",6,6,6,5,4,1,5
ad47,"Try to focus on a small section of letters to find words for awhile.  This can help you spark ideas to find more words without having to search the whole board at once, which can slow you down.",6,6,5,1,1,0,6
ad42,"Be as focused as you can. Quiet room. Start with 3 letter word. Check if a 4th letter like s can be added to make plural, etc.",7,5,6,3,3,0,6
ad55,Look for vowels to begin and then use the letters around the vowels to make words.  Use an s around the same words to make the word twice with one being plural.  ,7,6,3,3,3,0,6
ad46,"I would suggest looking for ""s"" in the grid so you can make plurals of the same words. Also If you see letters such as ""eed"" together, you can look for letter to make word with it, like seed, weed, reed, feed. These are a couple quick tips to get more words",5,7,4,2,2,0,6
ad72,"Try and look for the plural of a word that you find, or if it's possible to add an 'ed' to the end to get multiple points for a the same base word. Also, make sure you don't rush so you're careful in choosing where you click your mouse, because if you rush and start on the wrong letter then it wastes time. ",6,7,6,3,3,0,5
ad74,look for the vowels / look for words that you can build on  / go with your instinct,7,3,3,3,3,0,7
ad01,try to look for three letter words since they are easy to find,5,6,2,1,1,0,7
ad02,"look for easy words, dont try to over think.",7,2,3,2,1,1,7
ad53,"Try to focus on small words that are three or four letters long because you should be able to find those quicker. Try to focus on the vowels because if I'm not mistaken most words have vowels. Also, try to scan in all different directions to try to put a short word together.",4,6,5,3,3,0,6
ad64,"Look for easy pluralizations for that may boost the number of words that you find; for example, 'cat' and 'cats'. Time goes quickly!",6,5,7,2,2,0,6
ad60,"Look the easy words like ""sea"" ""set"" ""test"" sometimes u can click them more then 1. ",6,2,1,1,1,0,4
ad29,"look for letters that are next to vowels or common consonant combinations like ""st"" or ""th.""  Rember that 3-letter words are acceptable and often you can then make 4-letter words with the same 3 letters.  Sometimes you can make 5-letter words with 4-letter words you have made by adding an ""s."" Avoid rarely used letters like ""x.""",6,7,4,6,5,1,4
ad10,"One things is too look for words and see if you can make them plural. Rat can be come Rats, so you can essentially double up word counts just by adding a letter. ",4,6,4,1,1,0,6
ad30,Go fast. / Look for plurals. / Look for the most obvious straight lines first. /  / ,7,5,7,3,3,0,6
ad12,"Don't release the mouse button, doing so would enter in your incomplete word! ",7,7,4,1,0,1,5
ad61,"When trying to find a word, look for consonants next to vowels. Some 3-letter words can become 4-letter words as well.",6,4,5,2,2,0,7
ad06,"try to find a constanant  with a vowel, and work from that.",5,2,3,1,1,0,7
ad39,What helped me the most was by looking at the vowels and seeing common constants that I could make alot of words out of and sometimes I would take words and see if I could reverse any of the letters to make a new word. ,3,5,3,3,3,0,6
ad36,"The tiles are sensitive. If you accidently click a tile you weren't intending to click, its better to come up with a new word rather than waiting, and perhaps mis-clicking to get the word you were intending to get.",4,6,5,2,2,0,4
ad21,"Look for an ""s"" or an ""ed"" to be able to attach onto words to make them plural or the past tense.  Look for ""ly"" to make a lot of adverbs.  If you want to have the most words, focus on shorter words as opposed to longer words (something I didn't really do).",6,6,4,4,3,1,6
ad03,"Look for sequences of letters that likely indicate a word can be formed. Try and find what words you can from these sequences. Sequences include such letter combinations as SE, TA, LA, PL, CH, etc. Keeps going from letter sequence to letter sequence. Look to form both singular and plural forms of a word if you can.",6,5,5,4,4,0,5
ad31,"Try to look at the whole puzzle and look for bits of words that you may know. Try not to go letter by letter, it will only slow you down.",5,5,4,3,2,1,5
ad48,"The only advice I could think of is, don't panic! And if you start making a word that isn't one, just keep on as quickly as you can. If you mess one up, shake it off and you'll do better the next one. It IS only a game.",4,5,4,4,3,1,6
ad13,Make us of the letter s when it appears. Remember that words can be made in any order.,7,4,3,2,2,0,6
ad11,My advice and only advice would be to never focus on one letter or set of letters.  You have to look at the whole board.,6,6,6,3,3,0,6
ad38,My advice would be to see if you can make your word plural. so you can make two words,4,6,5,1,1,0,6
ad59,"When making words try to make longer words, not just 3 letters.",5,5,4,2,1,1,7
ad77,Make sure to start with easy words with few letters first and look at the board from every angle.,6,5,6,2,2,0,7
ad08,"You can always get two words from something if you have an ""S"" to plural it first. ",5,6,3,1,1,0,7
ad23,Just take your time and try to find as many words as possible. Lots of words can be spelled forward and then a new word can be used using the same word backwards.,6,5,6,4,4,0,7
ad27,"My advice would be to take your time when highlighting letters to make sure they all turn red and you won't have to go back, ultimately wasting time. ",5,6,6,1,1,0,5
ad25,"I started by looking for words that were already spelled out either vertically, horizontally, or diagonally.  Once I did that I just started in the top left corner by letter and tried to make words from there.  If I could not I moved down to the next letter and repeated that same strategy.  Also the game seems to accept the plural and singular form of the words so make sure to use both!",2,7,5,4,4,0,6
ad75,be precise in how you move your mouse around the boxes. if you hit the wrong box you have to start over in selecting the word. when you are working on a time limit that can hamper you. ,6,4,3,2,1,1,5
ad70,"Place the cursor on the beginning letter of the word you want to make. Hold down click and drag it to the other letters of the word. Make sure that all of the letters are touching, they have to be together in the game.",7,7,6,3,3,0,6
ad14,Think small and don't overthink when it comes to combining words.,7,3,7,2,1,1,5
ad16,Just clear your mind. Think what letter could come next in a word and look for it. Have fun!,7,4,7,4,4,0,7
ad32,I suggest you keep you finger down on the mouse as you are sliding as mine kept slipping and i had to tart over. You may also be on the lookout for plurals as I found quite a few. Also move quickly as that 1 minute flies by!!,3,7,2,3,3,0,4
ad15,My advice to you is just to start picking letters  / the words will begin to flow as you start playing the game  / don't get distracted by not finding any words to begin with after a few seconds they will begin to pop out at you ,5,5,3,2,1,1,6
ad58,"Know your word before you click, know how to spell it as well. If you don't this slows down your game, reducing the amount of time you have left. Good luck!",6,7,6,2,2,0,6
ad05,Just go as fast as possible. Try to remember words you have already entered to save time.,6,6,7,2,2,0,6
ad49,"Ok, first of all pay close attention! It seems easier than it actually is.  If you see a word that you can make, but you have to drag back the other way it will NOT let you, so that word will not work. So lets say the word is work and -w-o-r and k is on the other side you cannot drag back. Find one letter and look all ways to see if it can make a word, then move on to another. ",7,6,5,3,2,1,6
ad73,"Make sure You click on the corner or edge of the tile, if not the game wont accept it and then You get a sorry and look like a complete idiot for makeing a stupid word.",5,7,2,1,1,0,2
ad44,The only advice I can give is try to think fast and try to think of words that are more than 3 letters. A lot of the words I found were actually very long and take a a lot of thinking to map out on the board. Remember that the letters just need to be touching,4,6,5,4,4,0,5
ad20,"You'll be surprised at how many words you can find. Going diagonally then across and then down, I found up to six letter words. It's pretty fun to try to find the longest word. ",1,1,5,1,1,0,7
ad04,My only advice is to make sure that you understand what you need to do with your mouse when clicking and holdling to select the letters.,6,2,7,1,1,0,6
ad67,"Look for words in the puzzles, then drag your mouse to form words. You can not use the same word twice. Each word must be at least 2 letters. You can drag the mouse vertically, horizontally and diagonally to form the words. Your goal is to form as many words in one minute.",7,7,7,5,4,1,7
ad28,Write down the words you have already used. This will make it easier for you not to waste time trying to use the same word when you're stumped and can't find new ones.,7,7,6,1,1,0,3
ad45,It is difficult to choose letters  in a row,2,1,3,1,1,0,4
ad76,Build your vocabulary ,7,2,3,1,1,0,7