advisor,advice_text,wordcount,TEACHER.perception.of.effectiveness,age,gender,TEACHER.PERFORMANCE.(low.is.bad),STUDENT.improvement,STUDENT.Perception.of.advice.quality.(help),STUDENT.perception.of.advice.quality.(improvement),RATER.perception.of.advice.quality.(helpfulness)
ad24,"Look for short words, at least three letters, as longer words don't give you more points. Look around vowels because almost all words have vowels in them, especially short words. The type of words you'll find will generally be consonant-vowel-consonant.",40,20,30,Male,7.5,2.53,5.75,52.05,5.739583333
ad63,"You should not worry too much about getting longer words, since they don't count for more points. Find three letter words and if possible add an ""s"" on to the end or beginning. Do a lot of work around the ""s"". Try to start with one letter until it's exhausted so you don't forget where you've been.",57,39,25,Male,15.16666667,3.47,5.7,54.15,5.596153846
ad07,"Try to find small words that can be changed slightly to create many works - like pit, pat, pits, pats, etc. Once you click a letter, you can't un-click it, so be careful. If you can't remember if you have already spelled a word, try anyway - you won't be penalized.",49,68,28,Female,8.166666667,5.144444444,5.611111111,46.61111111,5.621359223
ad68,"Here's some advice for how to do well on the Word Scramble game.  Look quickly for the available vowels in the game.  Then look for consonants that are adjacent to the vowels.  Try to scan the letters as quickly as possible to come up with words.  Keep a mental track of the words you have already identified, as you will not get credit for duplicate words.  Try to stay calm and not get flustered as the time ticks down.  Just keep scanning the letters in all directions looking for new words until time runs out.    ",95,35,56,Female,6.333333333,2.25,5.6,47.3,5.56122449
ad17,"Make small words. Try to use variations of the same word bases  for, fore, ford, fords, etc",17,50,35,Male,12.83333333,3.33,5.35,49.78947368,5.563829787
ad22,"Try to focus on the vowels. Notice where the A E I O U's are to help get an idea of what words you can make. Be aware of were S's are, they are a good way of turning 1 word into 2 using a plural.",44,30,27,Male,10.16666667,3.86,5.25,47.4,5.524271845
ad50,"Don't be concerned about making long words with more letters, all words are worth 1 point. Still use the plurals though - leap as well as leaps - whenever possible for more points.",30,71,32,Female,10.5,3.128571429,5.214285714,55.35714286,5.554455446
ad71,Look for small words first.  Look for words within words.  Look for words similar to the ones you just found.  Stick to one area as long as you're finding words quickly.  Look for words that end in -ed or -s if they're on the board.  Stick to areas that have letters that are common.,54,19,27,Female,11,4.444444444,5.166666667,54.27777778,5.58
ad52,"Keep your fingers moving; look for common suffixes, e.g., -ear, -art, -are so that you can add a letter before them (e.g., -art, could be dart, part, etc); continuously scan back and forth, up and down.  Make sure your touch pad or mouse are smooth and easy to use so you don't accidentally flow onto a letter you don't want because you can't go backwards.  If you see a Q but no U, obviously don't click on it. Scan for common letters as well.  Look for the most commonly used words, like ""and"".  Most importantly, the more you play, the better you will get.  And take your time - if you rush, you'll be putting pressure on yourself and you will not find as many words as you are capable of.",130,30,60,Female,15.83333333,2.831578947,5.157894737,45.89473684,5.47
ad09,"1. Look for words all in one row first / 2. The same words seem to appear across multiple boards / 3. Keep it short, focus on three letter words. / 4. Look at the vowels and see if you can build around those",37,73,24,Male,5.833333333,3.92,5.15,44.2,5.37
ad78,"- You CAN make the same word twice, just not with the same letters. If you have two of the letter ""s"" next to each other and can connect them to the same word twice, do it. /  / - Don't worry about longer words until later in the game, focus on short quic",73,80,19,Male,17.66666667,3.95,5.15,41.5,5.193877551
ad57,"Look for all versions/tenses of a specific word. For example, if you see ""TALK"", also look to see if you can find ""TALKED"". Between scramble boards, look to see if there are repeat words. That is, some of the words you found in board 1 might also be in board 2 or 3. Rather than pick a letter and search for nearby options, loosen your focus and look for general word patterns over the whole board. ",73,28,25,Male,8,3.15,5.0625,45.3125,5.273684211
ad33,"Don't just think about a letter a word starts with - think about suffixes and prefixes, for example, words that end in -ix, -ing, or start with re- /  / Look for plurals and past tenses, words that end in -ed or -s, -es /  / Don't forget to look diagonally and backwords! /  / Words within words count! eat, seat, eats, seats /  / You may get extra points for obscure words. Be well-read to improve your score! / ",70,80,40,Female,11.16666667,3.6,5.05,33,5.484848485
ad35,Try and make several words out of the word you just got. Also see if it spells something backwards. Making one word seems to help the fluid-ness of finding the next. It will also help to try a couple different strategies while playing and seeing which one works best for you. ,51,40,24,Male,7,3.357894737,5,37,5.264705882
ad18,1.  Look for vowels.  All words need one. / 2. Work around a single vowel until you have found all words with that vowel. / 3. YOu might start with vowel on top of board.  Then move to another vowel on bottom of board to make sure you do not duplicate.,46,14,69,Female,6.166666667,3.66,4.95,36.31578947,5.504950495
ad19,"Be careful dragging the cursor in this game. It is not very accurate. Also, it does not matter how long the words are. For maximum points, stick to 3-letter words if possible.",32,60,29,Male,19.16666667,3.922222222,4.944444444,40.16666667,5.447916667
ad69,"The most important thing is to not just sit by and stare at the board.  You need to take the first few seconds to look at all the letters but then you need to just begin moving.  If you just sit there looking at all the letters you can end up feeling overwhelmed and lose time on making words.   /  / Next, you do not need to make complex, long words.  You are looking to get points for creating as many words as possible.  Therefore, the best advice is to begin right away by looking at one letter and branching off to see what words you can create.  It is usually better to begin by looking at a consonant and looking at nearby letters to see all the words you can create.  And you just begin by creating words.   /        / Overall, the best advice is to not get lost staring at the box.  Second, begin right away and start looking for easy words you can create.  Get in a rhythm and the words will start flowing out.                  ",174,68,33,Female,15.33333333,3.270588235,4.941176471,36.94117647,5.484536082
ad62," Take your time clicking on the letters to make a word.  Be careful not to click on letters that would make your word invalid.  Don't pay attention to the clock or the number of words you have created as it might distract you or make you nervous.  Try not to focus on making big words, just try to focus or creating as many words as quickly as possible for points.",70,45,40,Female,24.33333333,4.147368421,4.894736842,40.5,5.247524752
ad34,"Word length doesn't matter. A three-letter word will give one point, just like a six-letter word. Go for the simpler words. That way you can get more short words in a minute than wasting time looking for longer words.",39,80,28,Female,11.33333333,2.922222222,4.833333333,47.72222222,5.717171717
ad54,"First, look for small (3-letter) words. When you find a word, see if you can extend that word with one more letter, especially with an S; also look for the ED inding to extend verbs. For example, TEA can be extended to TEAR or TEAM; TEAR can be extended to TEARS; EAR can be extended to SEAR. You can also scramble letters of the same word; or example, EAST can become SEAT and TEAS.",74,40,57,Female,10.83333333,3.2,4.833333333,37.61111111,5.833333333
ad66,"First, look for basic words. When you find these basic words, look for plurals, past tense, variations, etc. This is a quick way to rack up points.  /  / Look for vowels.  You can not make words without them, so find where they are in relation to consonants and map out words accordingly. /  / Look for popular letters that are combined.  Things like TH-, ST-, etc., are the beginnings and ends of a wide variety of words. ",74,80,35,Male,16.33333333,3.477777778,4.833333333,33,5.752475248
ad41,"My advice is to concentrate on short words, that way you'll find more of them.",15,19,45,Male,8.666666667,2.95,4.8,34.7,5.352941176
ad56,"Make sure your mouse is on the correct letter before you start making your word. Make sure you look for plurals. For every word you find, see if other words can be found in it, like by reading the word backwards.",41,20,25,Female,14.66666667,3.1,4.777777778,40.5,5.484210526
ad65,"I would say the best bet is to look for the smaller words first, and then build on them. For example, find ""eat"" and then ""eats"". Use as many variations of the same small set of letters as possible until you've exhausted all possibilities.",44,31,33,Female,11.66666667,3.28,4.75,38.4,5.525252525
ad43,"Look for short words. If there is an s, er, or ed available look to make combinations like plurals and tenses. Controls are tricky, be patient.",26,63,42,Male,9.833333333,3.968421053,4.736842105,31.78947368,5.608247423
ad51,You will have a time limit to find words so be as quick as possible. / Even short words qualify. / The same words qualify as long as you use different letters in the block. ,33,67,35,Female,6.166666667,3.688888889,4.722222222,40.16666667,4.865384615
ad37,"Go for simple words starting with consonants. Move the mouse slowly and consistently. If it highlights a wrong letter, try clicking on the letter to start over.",27,20,26,Female,7.166666667,3.5,4.7,40.9,4.773195876
ad26,Words are centered around the vowels. Try to use as many plurals as possible.,14,10,21,Male,11.66666667,2.277777778,4.611111111,42.66666667,5.387755102
ad40,"Don't panic! Find compound words and be sure to look for suffixes and prefixes to help get a lot of words quickly. Also, give yourself a minute to look for opportunities to make a lot of short words together.",39,20,33,Male,12.16666667,3.79,4.6,38.75,5.059405941
ad47,"Try to focus on a small section of letters to find words for awhile.  This can help you spark ideas to find more words without having to search the whole board at once, which can slow you down.",38,54,24,Female,14.66666667,3.8,4.6,31.7,4.989583333
ad42,"Be as focused as you can. Quiet room. Start with 3 letter word. Check if a 4th letter like s can be added to make plural, etc.",26,40,53,Male,8.166666667,4.7,4.555555556,31.72222222,5.284210526
ad55,Look for vowels to begin and then use the letters around the vowels to make words.  Use an s around the same words to make the word twice with one being plural.  ,32,65,53,Female,13,3.288888889,4.555555556,30.61111111,5.469387755
ad46,"I would suggest looking for ""s"" in the grid so you can make plurals of the same words. Also If you see letters such as ""eed"" together, you can look for letter to make word with it, like seed, weed, reed, feed. These are a couple quick tips to get more words",52,60,43,Female,16.83333333,2.93,4.55,32.85,5.586538462
ad72,"Try and look for the plural of a word that you find, or if it's possible to add an 'ed' to the end to get multiple points for a the same base word. Also, make sure you don't rush so you're careful in choosing where you click your mouse, because if you rush and start on the wrong letter then it wastes time. ",63,11,30,Female,12.16666667,2.705882353,4.529411765,28.5,5.414141414
ad74,look for the vowels / look for words that you can build on  / go with your instinct,16,50,48,Female,5.833333333,2.936842105,4.526315789,26.73684211,4.858585859
ad01,try to look for three letter words since they are easy to find,13,81,22,Female,9.666666667,3.122222222,4.5,39.82352941,5.196078431
ad02,"look for easy words, dont try to over think.",9,32,65,Male,3.833333333,4.03,4.5,36.7,4.927083333
ad53,"Try to focus on small words that are three or four letters long because you should be able to find those quicker. Try to focus on the vowels because if I'm not mistaken most words have vowels. Also, try to scan in all different directions to try to put a short word together.",53,20,39,Male,2,2.53,4.45,27.1,5.55
ad64,"Look for easy pluralizations for that may boost the number of words that you find; for example, 'cat' and 'cats'. Time goes quickly!",23,60,29,Male,10,3.366666667,4.444444444,23.38888889,5.552083333
ad60,"Look the easy words like ""sea"" ""set"" ""test"" sometimes u can click them more then 1. ",15,57,19,Male,5.666666667,2.96,4.35,35.4,4.272727273
ad29,"look for letters that are next to vowels or common consonant combinations like ""st"" or ""th.""  Rember that 3-letter words are acceptable and often you can then make 4-letter words with the same 3 letters.  Sometimes you can make 5-letter words with 4-letter words you have made by adding an ""s."" Avoid rarely used letters like ""x.""",56,39,68,Female,7.833333333,3.2,4.333333333,34.14285714,5.474747475
ad10,"One things is too look for words and see if you can make them plural. Rat can be come Rats, so you can essentially double up word counts just by adding a letter. ",33,49,29,Male,14.16666667,2.715789474,4.315789474,26,5.68
ad30,Go fast. / Look for plurals. / Look for the most obvious straight lines first. /  / ,13,9,41,Male,16.83333333,4.6,4.315789474,34.89473684,5.128712871
ad12,"Don't release the mouse button, doing so would enter in your incomplete word! ",13,81,22,Male,10.33333333,4.13,4.3,35.05555556,5.31
ad61,"When trying to find a word, look for consonants next to vowels. Some 3-letter words can become 4-letter words as well.",21,80,56,Female,7,2.12,4.3,30.68421053,5.397849462
ad06,"try to find a constanant  with a vowel, and work from that.",12,10,58,Female,5,3.178947368,4.263157895,32.57894737,4.808080808
ad39,What helped me the most was by looking at the vowels and seeing common constants that I could make alot of words out of and sometimes I would take words and see if I could reverse any of the letters to make a new word. ,45,19,24,Female,8.166666667,3.322222222,4.222222222,28.05555556,5.193877551
ad36,"The tiles are sensitive. If you accidently click a tile you weren't intending to click, its better to come up with a new word rather than waiting, and perhaps mis-clicking to get the word you were intending to get.",39,45,27,Female,12.33333333,2.14,4.2,28.35,4.862745098
ad21,"Look for an ""s"" or an ""ed"" to be able to attach onto words to make them plural or the past tense.  Look for ""ly"" to make a lot of adverbs.  If you want to have the most words, focus on shorter words as opposed to longer words (something I didn't really do).",53,82,33,Female,20.33333333,3.566666667,4.166666667,34.38888889,5.313131313
ad03,"Look for sequences of letters that likely indicate a word can be formed. Try and find what words you can from these sequences. Sequences include such letter combinations as SE, TA, LA, PL, CH, etc. Keeps going from letter sequence to letter sequence. Look to form both singular and plural forms of a word if you can.",57,60,54,Male,9.166666667,3.473684211,4.157894737,19.21052632,5.326530612
ad31,"Try to look at the whole puzzle and look for bits of words that you may know. Try not to go letter by letter, it will only slow you down.",30,20,26,Male,4.166666667,3.336842105,4.105263158,30.88888889,5.02
ad48,"The only advice I could think of is, don't panic! And if you start making a word that isn't one, just keep on as quickly as you can. If you mess one up, shake it off and you'll do better the next one. It IS only a game.",48,10,61,Female,4.666666667,3.621052632,4.105263158,30.11764706,4.904255319
ad13,Make us of the letter s when it appears. Remember that words can be made in any order.,18,10,27,Male,4.333333333,2.41,4.1,26.2,4.908163265
ad11,My advice and only advice would be to never focus on one letter or set of letters.  You have to look at the whole board.,25,59,26,Female,13.66666667,4.077777778,4.055555556,30.55555556,4.742574257
ad38,My advice would be to see if you can make your word plural. so you can make two words,19,48,38,Female,8.833333333,2.455555556,4.055555556,25.5,5.463917526
ad59,"When making words try to make longer words, not just 3 letters.",11,20,58,Female,4.666666667,2.711111111,4.055555556,30.66666667,3.382352941
ad77,Make sure to start with easy words with few letters first and look at the board from every angle.,19,47,19,Male,9.5,3.311111111,4.055555556,30.5,5.198019802
ad08,"You can always get two words from something if you have an ""S"" to plural it first. ",17,60,41,Female,9.166666667,2.24,3.95,22.4,5.287128713
ad23,Just take your time and try to find as many words as possible. Lots of words can be spelled forward and then a new word can be used using the same word backwards.,33,50,31,Female,5.166666667,3.221052632,3.894736842,27.78947368,4.930693069
ad27,"My advice would be to take your time when highlighting letters to make sure they all turn red and you won't have to go back, ultimately wasting time. ",28,61,33,Female,11,2.59,3.85,18.55555556,4.732673267
ad25,"I started by looking for words that were already spelled out either vertically, horizontally, or diagonally.  Once I did that I just started in the top left corner by letter and tried to make words from there.  If I could not I moved down to the next letter and repeated that same strategy.  Also the game seems to accept the plural and singular form of the words so make sure to use both!",73,60,29,Male,8.333333333,2.273684211,3.842105263,23.57894737,5.255102041
ad75,be precise in how you move your mouse around the boxes. if you hit the wrong box you have to start over in selecting the word. when you are working on a time limit that can hamper you. ,38,61,30,Male,6.833333333,2.4,3.842105263,24.58823529,5.276595745
ad70,"Place the cursor on the beginning letter of the word you want to make. Hold down click and drag it to the other letters of the word. Make sure that all of the letters are touching, they have to be together in the game.",44,61,45,Male,9.333333333,3.588888889,3.833333333,25.5,4.97029703
ad14,Think small and don't overthink when it comes to combining words.,11,50,23,Male,5.666666667,4.833333333,3.777777778,35.83333333,4.959183673
ad16,Just clear your mind. Think what letter could come next in a word and look for it. Have fun!,19,8,39,Male,11,1.955555556,3.777777778,35.75,4.536082474
ad32,I suggest you keep you finger down on the mouse as you are sliding as mine kept slipping and i had to tart over. You may also be on the lookout for plurals as I found quite a few. Also move quickly as that 1 minute flies by!!,47,75,58,Female,26.16666667,2.988235294,3.764705882,24.70588235,5.07
ad15,My advice to you is just to start picking letters  / the words will begin to flow as you start playing the game  / don't get distracted by not finding any words to begin with after a few seconds they will begin to pop out at you ,45,5,47,Male,4.166666667,3.042105263,3.736842105,25.05263158,4.292929293
ad58,"Know your word before you click, know how to spell it as well. If you don't this slows down your game, reducing the amount of time you have left. Good luck!",31,19,28,Female,8,3.57,3.7,23,4.841584158
ad05,Just go as fast as possible. Try to remember words you have already entered to save time.,17,59,28,Female,17.66666667,4.433333333,3.611111111,23.5,4.424242424
ad49,"Ok, first of all pay close attention! It seems easier than it actually is.  If you see a word that you can make, but you have to drag back the other way it will NOT let you, so that word will not work. So lets say the word is work and -w-o-r and k is on the other side you cannot drag back. Find one letter and look all ways to see if it can make a word, then move on to another. ",83,33,31,Male,3.833333333,3.8,3.578947368,25.5,4.614583333
ad73,"Make sure You click on the corner or edge of the tile, if not the game wont accept it and then You get a sorry and look like a complete idiot for makeing a stupid word.",36,50,53,Female,6,3.61,3.45,31.21052632,4.193877551
ad44,The only advice I can give is try to think fast and try to think of words that are more than 3 letters. A lot of the words I found were actually very long and take a a lot of thinking to map out on the board. Remember that the letters just need to be touching,55,40,25,Male,5,2.831578947,3.421052632,19,4.215053763
ad20,"You'll be surprised at how many words you can find. Going diagonally then across and then down, I found up to six letter words. It's pretty fun to try to find the longest word. ",34,37,38,Male,10,1.77,3.3,21.44444444,4.12244898
ad04,My only advice is to make sure that you understand what you need to do with your mouse when clicking and holdling to select the letters.,26,19,52,Male,3.666666667,3.29,3.25,24.7,4.663366337
ad67,"Look for words in the puzzles, then drag your mouse to form words. You can not use the same word twice. Each word must be at least 2 letters. You can drag the mouse vertically, horizontally and diagonally to form the words. Your goal is to form as many words in one minute.",52,60,35,Female,9.666666667,3.715789474,3.210526316,17.57894737,4.505050505
ad28,Write down the words you have already used. This will make it easier for you not to waste time trying to use the same word when you're stumped and can't find new ones.,33,20,24,Male,6.166666667,3.922222222,2.722222222,17,2.565656566
ad45,It is difficult to choose letters  in a row,9,44,31,Male,4,3.35,2.55,9.35,3.54368932
ad76,Build your vocabulary ,3,0,22,Female,7,3.46,2.45,18.15789474,4.173469388